,Review date,Reviewer name,Review title,Review body,Rating
77,"June 11, 2021",Connie,,I USE THESE ALWAYS. VERY HANDY FOR QUICK CLEANING.,5
78,"June 11, 2021",Roxie,,"I like the smell of the bleach, because it makes it smells fresh and clean especially if you have to travel and stay out of town.",5
79,"June 10, 2021",Yanet,Great product!!,We tend to keep these all the time. They clean great.,5
80,"June 10, 2021",Elaine,,I always liked theses wipes for fast sanitizing and I always like Clorox products in all my sanitizing because it works,5
81,"June 9, 2021",marie,The best wipes ever!,I use these likes for multiple of things. It really is a great product. That's delivery.,5
82,"June 8, 2021",jean,Great product,Some of containers were damaged. The tops were smashed in. Put them in old containers I have.,5
83,"June 7, 2021",Lisa,,love um great value use um all the time would buy again,5
84,"June 7, 2021",blndaly,The Best,Haven't found this in a year.,5
85,"June 7, 2021",Jns0,Goodbye germs,These are exactly as I expected them to be. I'm glad they shipped fast. They are convenient for disinfecting surfaces quickly. I marked it down one because it would be nice if they closed better. The containers leak if tipped.,4
86,"June 6, 2021",Paul,,This is a good product for cleaning,5
87,"June 6, 2021",Monica,,I use these every single day. They're great when cleaning my cats litter box. I also use them to wipe down the tub after every bath and so does the rest of the family.,5
88,"June 6, 2021",1happycustomer,The best brand of disinfecting wipes,The best disinfecting wipes I know. I feel assured when I use this brand of wipes to disinfect anything.,5
89,"June 5, 2021",cheriebfl,Not sturdy,This is not for children or rough adults. My 12 yr old daughter had this for 3 weeks before the front of two drawers fell off.,3
90,"June 5, 2021",Robin,,Very disappointed. They where smashed and leaking.,1
91,"June 4, 2021",JUAN,,very happy i was able to get!,5
92,"June 4, 2021",melissa,,nice wet wipes with a nice smell,5
93,"June 4, 2021",LILIANA,,"Easy to use, I keep a canister for each floor, very handy.",5
94,"June 2, 2021",Bostonlover,,"Love the wipes, not the delivery. Came in an envelope and they leaked all over to the point where all the labels were soaked and came right off the containers had to dry them all and now hoping they just leaked and no holes in any of them.",5
95,"June 2, 2021",razikx,Better than Lysol wipes,"These are honestly better wipes than the Lysol ones. They are both great but I choose this over Lysol any day. I think the quality of the wipes on these are better , they just feel like they handle more wipes before they start to fray a bit",5
96,"June 1, 2021",Miguelina,Efficient,Really good items and the best quality.,5
97,"May 31, 2021",GG,CLOROX WIPES,WKS WELL IN BATHROOMS AND KITCHEN,5
98,"May 30, 2021",Marie,,The wipes was dried up unfortunately,1
99,"May 29, 2021",Norma,,So glad these are available again,5
100,"May 28, 2021",Jonathan,i love it,"i loveClorox Disinfecting Wipes, (225 Count Value Pack), Crisp Lemon and Fresh Scent - 3 Pack - 75 Count Each",5
101,"May 26, 2021",WalmartCustomer,Quickly and easy way to clean.,"Was so glad to be able to get a pack of these while we were moving recently. We were able to quickly clean the cab of the moving truck, knobs and the bathroom where we were staying overnight, and yo clean the new place quickly and easily.",5
102,"May 26, 2021",milagros,,The problem is that when I received the wipes the containers were all wet. The containers Were not sealed,3
103,"May 25, 2021",Regina,Great wipes to clean,These are great wipes! When you need to wipe your countertops down and make sure you have cleaned and killed germs? They are the wipes you want! Love them! They are affordable too!,5
104,"May 23, 2021",Elvia,Very good.,"It really helps disinfect everything, especially cause of the Covid-19.",5
105,"May 22, 2021",JoAnn,Lysol makes the best cleaning products,Works great. Great price and customer service.,5
106,"May 21, 2021",karen,Clorox Wipes great products,"Love this product, smells good and makes me feel that things are at cleaner.",5
107,"May 20, 2021",Judy,It's Clorox. It's good.,It's Clorox. Of course it's good. I use these in routine cleaning all the time. They are convenient and they get the job done.,5
108,"May 18, 2021",Sherry,,"delivery fast, this is the only wipe I use for my family",5
109,"May 17, 2021",Lindugas,"Clorox Disinfecting Wipes, (225 Count Value Pack),",I have been using these for YEARS prior to this Pandemic. I used to by them in the 3 pack at a Wholesale store. But the inability to obtain over the past year was frustrating. I am so glad I can now get these to wipe down all surfaces in bath and kitchen with the safe feeling I get from using Clorox products .,5
110,"May 16, 2021",Gazelle,Great product,"Great product , do the job. Price fair (?)",5
111,"May 16, 2021",carmenbabysweet,wipes,very thin wipes. it use to be thick wipes,1
112,"May 16, 2021",Angelina,Ok,Came late in afternoon ! We are Disable and don't like to go out of the fence when it starts getting dark . We are also Elderly and we don't trust strangers .,4
113,"May 15, 2021",Julia,price,keeping surfaces sanitary from virus is definitely worth it. not bad 3 of them for the price of 10$ and it's quantity,5
114,"May 15, 2021",FrannieFrance,Disinfectant Wipes,Perfect! For Small Areas to Disinfect,5
115,"May 15, 2021",Willanda,I have been waiting!!,I have been waiting for these to come back in regular supply since the pandemic!! This disinfects well and works well with other cleaning products like Clorox clean up. I would recommend this product to family and friends.,5
116,"May 13, 2021",WalmartCustomer,Value for money,"I am so happy, finally, the general public has the ability to purchase cleaning products again. It was so difficult to buy them. The wipes are easy to take out. I used it for clean kids toys, doors, TV tables, counter tops in kitchen and bathrooms. Bonus point: kills COVID-19 VIRUS!",5
117,"May 10, 2021",Cheryl,My FAVORITE SCENT,I LOVE THESE MY FAVORITE PRODUCT,5
118,"May 9, 2021",MsBea,,Glad they finally got some in the stores!,5
119,"May 9, 2021",Marfendra,Positive!,Love having these on hand! Company coming? A quick swipe or two spiffs up the bathroom quickly and smells so clean!,5
120,"May 8, 2021",Nelle,Great For Your Family,"My family and I have been using these Clorox disinfecting wipes for years. We trust Clorox to protect us against bacteria, germs and viruses. We use these in every part of our home. Door knobs, the bathroom, the kitchen and even wiping down the kids toys. Leaves everything clean and smelling nice. The lemon scent is my absolute favorite. Makes the whole area smell like you've spent a hours cleaning. Works great on the stove too. Easily breaks down and wipes up grease and other touch splatters and spills like tomato sauce. We've really counted on these the last two years to keep us safe and I am happy to report we have stayed safe and haven't been sick the entire two years. For that, I am very thankful to Clorox.",5
121,"May 8, 2021",Angelita,,I am glad I was finally able to purchase this merchandise after months of trying to buy disinfectant wipes.,5
122,"May 8, 2021",William,,"Excellent product, packaged well.",5
123,"May 7, 2021",Sally,Great for cleaning and sanitizing.,"Super for cleaning and sanitizing, takes care of small spills.",5
124,"May 5, 2021",karmo,,"The best cleaning the counter, doorknobs , sink , toilet seats and whatever else you need for cleaning, wipes",5
125,"May 3, 2021",Karen,Finally back in stock!,These clean well and also disinfect.,5
126,"May 3, 2021",I have no nickname,I Hate This New Product,"[This review was collected as part of a promotion.] Where are my original Clorox Wipes? Not the kind that are 'disinfecting wipes'; that is peroxide and that does not clean the way I like. I know, I know. It SAYS that it kills COVID-19. I don't care. I simply want to clean my kitchen and my bathrooms.
I have used and currently use a LOT of Clorox products. Just bring back the Wipes and get rid of the imitations.",1
127,"May 3, 2021",Candi,Not like it was before,It is alot thinner than before and there is no scrubbing textures,4
128,"May 2, 2021",BBC,"clorox, the best","The best, it's clorox.. Lucky to get them",5
129,"April 30, 2021",Anna,,"Got a 3 pack for less than $ 10.00. Had been having difficulty getting these disinfecting wipes, Great that I was able to get some at Walmart and at a good price.",5
130,"April 30, 2021",C Cochran,Love these wipes,[This review was collected as part of a promotion.] I bought these last week and LOVE them. I have 3 boys and these are very handy. I use them in my bathrooms daily.,5
131,"April 29, 2021",Louise,,Always use these Thankful I can purchase them at Walmart and have them delivered at a great price,5
132,"April 29, 2021",Cheryl,,Great Value for one of the best disinfecting wipes they are. Wipes are very strong.,5
133,"April 29, 2021",likeshrimp,Sanitizes To My Satisfaction,What can you say about wipes these make me feel secure when cleaning my home,5
134,"April 28, 2021",Gennett,Easy Cleanup,"I use Clorox most of the time. I find this product to be an easy clean up, very convenient.",5
135,"April 28, 2021",Cheryl,Clorox wipes,Glad to have them back on the shelves after having to make my own for over a year.,5
136,"April 28, 2021",MELISSA,Everyone needs wipes,Who dont need these!!! My favorite brand of disinfectant wipes! I got 3 packs now!,5
137,"April 27, 2021",Muthamouth,"Clorox Disinfecting Wipes, (225",Great disinfectant ! Grab,5
138,"April 26, 2021",SPRINGER,Clorox Wipes,Clorox wipes have a rough texture on one side that makes a difference!!!!,5
139,"April 26, 2021",Marylouise,Messes,Very nice and easy to clean up messes with,5
140,"April 25, 2021",Jean,,Cleans up bathroom especially nicely!,5
141,"April 24, 2021",Mildred,Trusting based on advertising.,I like being able to put one in each important room. Plus there is extra until I received the next Order.,5
142,"April 24, 2021",Tommie,A 10,"This does a good job, it clean and kills germs and you counters etc smells great",5
143,"April 23, 2021",Irma,Great customer service.,Have always liked Clorox products. First batch they had packaged laying flat in the box. The liquid spilled out,4
144,"April 22, 2021",Wanda,,ive used this brand forever disinfect so well,5
145,"April 22, 2021",JOANNE,,"These Clorox disinfecting wipes are great. I just love them and due to the Pandemic, they are very hard to find. I am, however, disappointed that the wipes were delivered to me without being packed in a cardboard box. They were just sitting on my porch, without the benefit of being packed in a box.",5
146,"April 21, 2021",ccm,,"These help but still somehow we got a stomach virus and we use these and the sprays, and swifter pads every day",5
147,"April 21, 2021",sandrafloerke,,good. disinfectant. esential item,5
148,"April 21, 2021",Nama,,I use these to keep everything sanitized . In my home with the pandemic and also used before .,5
149,"April 20, 2021",MissHeather,"Been a staple MANY MOONS,waay b4Covid...",These have been MY GO TO since many many MOOONS before Covid EVER came along!! Kept my family safe since and before! Ill ALWAYS have these on hand!,5
150,"April 20, 2021",mayra,Good product..Terrible packing,"I love Clorox Wipes..BUT I ordered this online..and the packaging was awful..Walmart did not cover it with another plastic bag and the person who packed put it the worng way..sooo Water was in the box..and other items were wet, Please take note of this in order to teach the packing people",3
151,"April 18, 2021",Jim,FAST AS LIGHTENING!!!!!,SPEEDY DELIVERY and Cannot be Happier!!! Thanks so much!!! WE LOVE WALMART!,5
152,"April 18, 2021",Adie56,Disinfectant Wipes,"Because of COVID especially, I am grateful for disinfectant wipes and glad they are back on the market. Also, I have had cancer and like to disinfect counters, steering wheel in my car, phone and purse.",5
153,"April 18, 2021",jeff,,Wonderful to keep everything clean and safe,5
154,"April 18, 2021",China,Pass the wipes.,I want my house fully protected and sanitized during Covid.,5
155,"April 16, 2021",Fgn,Good items,Good purchase for the price and shipping good,5
156,"April 13, 2021",Andreea,,I use them all over the house,5
157,"April 12, 2021",Msis,Good item,Great for sanitizing. Not to small not to big.,5
158,"April 12, 2021",memaw,Sanitary wipe ups,Handy to keep in the bathroom and kitchen for wipe ups!,5
159,"April 12, 2021",Bethany,Finaly been able to get these,I just glad I finally was able to get these since the pandemic started I have not been able to get any I need these for my own medical conditions . I get Mrsa out breaks often I had so many of them since pandemic started and have not been able to disinfect anything I touched so I kept getting the infection. So I am just glad I finally able to get some of them. Mrsa when you have a Mrsa out back or flare up your consider very contagious.,5
160,"April 11, 2021",Phyllis,Dont understand why buy a 3 pack,They came not in one pack together all 3 Came separate,1
161,"April 11, 2021",Lonnifer,Love this brand,Always have trusted Clorox brand. Haven't used yet. Love lemon scent from previous uses.,5
162,"April 11, 2021",Nancy,Back in Stock,"Tough to find. First time finding in more than a year,",5
163,"April 10, 2021",TRP,Refreshing and trustworthy,"Name brand that has been known in the cleaning industry for years. These wipes are a good size, and come out of the container without rubbing or tearing on a rough plastic like the less expensive brands. They are easily torn apart on taking out of the container, where as some other brands many cloths are wasted because 3-5 come out at once. There is a nice, refreshing scent without being too harsh and abrasive. Also, the individual cloths are moist so you know you are getting some cleaner with them. Most other brands come out dry. I've even had to pour more cleaner in half used containers of other brands directly over the cloths because they were dried out. Waste of money. During this time of Covid we have depended on these and had a container in almost every room, as well as the car. We simply trust them. And, will continue to have available in our home long after we get back to ""normal"".",5
164,"April 10, 2021",lizard55,Awesome clean,Smells good and they disinfect,5
165,"April 10, 2021",Yoshira,Great Product!,Product is great! only issue was either the packaging or delivery service since I ordered 2 packs one of them came soaked not sure If it open and spilled all over or of there was a hole.,4
166,"April 9, 2021",kim,Clorox the cleaner clean,Clorox has always been a good man and the whites are even more convenient very moist it does the job well,5
167,"April 8, 2021",Jo,LOVE THEM!,THESE WIPES DOES IT ALL. I SIT OUTSIDE ON THE PATIO NOW AND USE THESE TO WIPE OFF THE CHAIRS AND SMALL TABLE,5
168,"April 8, 2021",Dediea,Great Selection,Fast delivery and excellent price,5
169,"April 8, 2021",Hildy,,Great quality and product!,5
170,"April 7, 2021",Debbie,Back in Stock!,"So pleased they are back in stock. Able to complete my order before getting the ""I sorry this item is no longer in stock"" message. Quality as expected.",5
171,"April 7, 2021",Diana,Poor packaging for the Clorox disinfecting wipes,"I just received this order delivery today and I have to tell you that Im so disappointed with regard to the packaging. The box was wet on one side and I could smell the strong contents of the Clorox disinfecting wipes coming from the inside! I had not opened the box at that point but the smell was so strong so you can imagine once I did open the contents! Paper was inserted into the box but there was no other type of wrapping other than what the item came with. The contents was soaked and two of the containers lids were slightly opened! Liquid was all over, it was a huge mess!! Needless to say I will not be ordering this item from Walmart in the future! With COVID-19 in effect and being handicapped I thought ordering any product would be safe not to mention convenient, but little did I know I was wrong!! I have ordered laundry soap liquid as well as other types of liquids and have not experienced this issue! Not happy with this at all. Im hoping that when I do use the item there will be liquid left inside that keeps the wipes moist!",1
172,"April 7, 2021",Sandy,,Love Clorox wipes ! Great product!,5
173,"April 6, 2021",Stephanie,,The inside of the box was wet. The labels on the clorox containers are coming off from being wet. The wipes seem to still be wet but I'm afraid they may not be as effective if the wetness is from the wiped themselves.,1
174,"April 5, 2021",GRACE,,Great for cleaning and disinfecting,5
175,"April 5, 2021",Nicole,Clorox Wipes - Good Buy,This was my first time trying this product and I really liked it. The texture is great and the little ridges made it felt more like a thin towel than a wipe. I will definitely buy it again.,5
176,"April 5, 2021",Lody27,Powerful wipes.,The best wipes and kill bacteria.,5
177,"April 4, 2021",leegl,a good buy,I purchase these all the time and like what I see. You can use them for any cleaning project you have around the house.,5
178,"April 4, 2021",Helyn,Glad these are back,"So happy to get these Clorox wipes. They became a fixture on a several counters in my home over the years. Yes I know there are other brands available, but Clorox has/is my go to wipe with confidence.",5
179,"April 3, 2021",Minnie,,They fine except one containers lid is broken and leaked inside of shipping box,3
180,"April 3, 2021",Raynelove19,Great price and quality,"This is definitely a quality buy for a great price! Especially with all that has been going on with quarantine and health changes worldwide. No complaints here, satisfied customer! Keep this in stock please we need it.",5
181,"April 1, 2021",tomvilla60,Thorough cleaning satisfaction,Makes cleaning easier and I know it is the cleanest it can be .,5
182,"March 31, 2021",Linda,Bleach wipes,"Very pleased, availability, we needed bleach wipes because of an infection someone in the family had and you can always know that Clorox works.",5
183,"March 31, 2021",Belinda,Excellent product,Great product and perfect for my needs,5
184,"March 31, 2021",Priscilla,SO PERFECT!,Good product and I love it! The surrounding inside my house it feels clean after I used this Clorox disinfecting wipes. It helps also to prevent bacteria or germs.,5
185,"March 30, 2021",Aisha,,Too expensive for only a 3 pack. Sam's carry it 5 pack for 10.00 and here 10 for only 3,1
186,"March 30, 2021",Kristie,Great,Always loved Clorox products!,5
187,"March 30, 2021",Guadalupe,,Great for cleaning anything,5
188,"March 29, 2021",Ginny,,Works great to clean everything,5
189,"March 29, 2021",Rachel,Where have you been? Clorox?,"As we all know, during COVID-19, everything Clorox disappeared. Now that I'm able to re-purchase, I bought a three pack of these to have on hand. Honestly, because I had to make do with Lysol instead of Clorox through the pandemic, I now prefer Lysol. The Clorox wipes actually stink, as in smell.",3
190,"March 29, 2021",Rick,A welcome return.,"These are great wipes. When Covid hit these disappeared, and Im so happy to see them back. So convenient and powerful. Thanks for bringing them back!",5
191,"March 28, 2021",MSGE55,Clorox Wipes,It was great. About to go into the house when the young delivery lady was dropping off my delivery packages.,5
192,"March 28, 2021",beatriz,Bust a quicky,They work great for those times unexpected company shows up and you want to give everything a fast wipe.,5
193,"March 27, 2021",sef3,"Clorox Disinfecting Wipes,",These are great for clean up and the smell is not strong,5
194,"March 25, 2021",Elizabeth,,Product is good. I want to give a big thanks to the delivery person who delivered it to my front door.,5
195,"March 25, 2021",Candy,"Thank you, thank you, thank you!",I AM FULL OF JOY THE DISINFECTANT WIPES ARE OUT! I WANT TO DO CARTWHEELS RIGHT NOW! LOL!,5
196,"March 25, 2021",Jacqueline,,Kills germs. Removes dirt and grim.,5
197,"March 24, 2021",amym370,Wonderful product! I use,Wonderful product! I use these wipes daily to disinfect things within my home and in my classroom. They smell nice and the chemicals are not overpowering when cleaning around children.,5
198,"March 24, 2021",Gazebo,,"Happy finally available again, price did go up a few dollars.",5
199,"March 24, 2021",CheriseR,,"wipes worked as expected and appeared as shown on site, thanks!",5
200,"March 24, 2021",None,,Clorox has been a staple in my home a long time.,4
201,"March 24, 2021",katlynnshawnp,I use these to,"I use these to wipe everything down everyday and the smell is amazing and they are long lasting I highly recommend to use these to stop the spread of virus and other germs that need to be gone so these at 100% effective and I do buy them everytime I run out CPC BLYSOW Lysol Disinfecting Wipes Lemon 75-Wipe Scent, Case of 6",5
202,"March 23, 2021",jessicaw826,I always try to,"I always try to have these Clorox disinfecting wipes on hand in our household. I love the fresh lemon scent that makes the house smell extra clean. The container is convenient and easy to use, especially when cleaning spills and messes. Try these!",5
203,"March 23, 2021",Schieber,,I could have danced for joy when I was finally able to purchase these. Waited patiently through the whole pandemic to be able to get them. Thank you,5
204,"March 22, 2021",roseofsharon55,,"Always liked them, always will, everything so clean",5
205,"March 22, 2021",artgal7,The BEST Brand available by far!,There's no better product for disinfecting wipes that clean also than Clorox Disinfecting Wipes. I'm so happy that they are finally becoming available to the general public again.,5
206,"March 22, 2021",PeggyAnn,Awesome,Love your availability of all products I want.,5
207,"March 21, 2021",Tamisha,,Loved that I could order this,5
208,"March 21, 2021",SmartValueBuyer,Good Wipe for the going-on pandemic,Very pleased to find this at Walmart. This brand always gives me the peace of mind.,5
209,"March 20, 2021",pjh1,Nana,Love the lemon fresh; I have one in the kitchen and the bathrooms also.,5
210,"March 19, 2021",Nilsa,Very Satisfied,What I like about this product is that its finally available in bulk size yay!!!!!,5
211,"March 19, 2021",franklinmullar,Very nice product....good for,"Very nice product....good for disinfection surfaces at home, I have one in my home and my office. I highly recommend",4
212,"March 18, 2021",Gwen,,"Excellent for wiping down doorknobs, sinks etc and smells good!",5
213,"March 17, 2021",Kelly,,lid of the middle container was cracked/broken. Items were placed in the box on its side so liquid leaked all over the box and other containers. I assume these wipes will dry up quickly and be useless for me.,1
214,"March 17, 2021",Queenbutterfly,,"Great wipes, exactly as ordered!",5
215,"March 17, 2021",Guadalupe,,Clorox is extremely helpful for cleaning and sanitizing. I personally love this product.,5
216,"March 17, 2021",mayurip5,These are portable and,These are portable and easy to use. They smell great and are great for disinfecting surfaces on the go.,5
217,"March 16, 2021",Benjamin,Good item,I really like my whips because helps with this virus,5
218,"March 16, 2021",cottoncandy,,these are the only one i like but i do like the cheep ones but the name brand seem to work more better than the store brnd one,5
219,"March 16, 2021",swamp,great,make cleaning so much easier,5
220,"March 15, 2021",StyleLover,Famous Clorox Disinfectant Wipes!,Clorox disinfectant wipes are the best brand and product out there to help fight germs. We all need this to be used at home in office or on the road... It is still not yet widely available for public yet.,5
221,"March 14, 2021",4JenniferT,,Feel confident in it's disinfectant ability.,5
222,"March 14, 2021",Solseg78,,I really like how the Clorox wipes disinfects and the price is a good deal.,5
223,"March 13, 2021",Olivia90670,Product is amazing!!,"I use these on a daily love the fresh lemon scent. I use them in the kitchen, restroom, table etc!!",5
224,"March 13, 2021",Passion,Easy on the touch,These are easy for the kids with the epidemic theyve been trained to wipe door knobs toilet seats ect,5
225,"March 13, 2021",Joy,Not happy,Left a big mess when shipped.. They should have taped the top lids so the liquid inside the container did not leak all over the box,1
226,"March 13, 2021",donthaveone,,Nice to have on hand for easy cleanup,5
